municipality,price_rub_m2,yield_vs_bank_deposit,source_district
Академический,346995,1.1,Академический
Алексеевский,348309,0.7,Алексеевский
Алтуфьевский,247543,1.2,Алтуфьевский
Арбат,536373,0.9,Арбат
Аэропорт,358888,0.9,Аэропорт
Бабушкинский,273345,1.0,Бабушкинский
Басманный,350935,0.6,Басманный
Беговой,403516,0.4,Беговой
Бескудниковский,267101,1.1,Бескудниковский
Бибирево,247543,1.2,Бибирево
Бирюлёво Восточное,220365,1.1,Бирюлево Восточное
Бирюлёво Западное,220365,1.1,Бирюлево Западное
Богородское,271220,1.2,Богородское
Братеево,248935,1.0,Братеево
Бутырский,304420,0.9,Бутырский
Вешняки,238249,1.3,Вешняки
Внуково,249385,1.0,Внуково
Войковский,294454,1.1,Войковский
Восточное Дегунино,267101,1.1,Восточное Дегунино
Восточное Измайлово,257272,0.8,Восточное Измайлово
Восточный,245443,1.0,Восточный
Выхино-Жулебино,238249,1.3,Выхино-Жулебино
Гагаринский,376752,0.5,Гагаринский
Головинский,296470,1.2,Головинский
Гольяново,245443,1.0,Гольяново
Даниловский,309126,0.8,Даниловский
Дмитровский,267101,1.1,Дмитровский
Донской,373936,0.3,Донской
Дорогомилово,418815,1.0,Дорогомилово
Замоскворечье,421689,0.7,Замоскворечье
Западное Дегунино,267101,1.1,Западное Дегунино
Зюзино,282935,0.8,Зюзино
Зябликово,248935,1.0,Зябликово
Ивановское,240291,1.1,Ивановское
Измайлово,257272,0.8,Измайлово
Капотня,247993,1.2,Капотня
Коньково,291589,0.9,Коньково
Коптево,294454,1.1,Коптево
Косино-Ухтомский,229136,1.0,Косино-Ухтомский
Котловка,309126,0.8,Котловка
Красносельский,398222,0.1,Красносельский
Крылатское,320164,0.8,Крылатское
Крюково,216486,1.2,Крюково
Кузьминки,262299,1.2,Кузьминки
Кунцево,299064,0.7,Кунцево
Куркино,275940,0.9,Куркино
Левобережный,291585,1.2,Левобережный
Лефортово,288506,1.2,Лефортово
Лианозово,242973,0.8,Лианозово
Ломоносовский,376752,0.5,Ломоносовский
Лосиноостровский,238925,1.0,Лосиноостровский
Люблино,247755,1.4,Люблино
Марфино,275277,0.9,Марфино
Марьина Роща,347058,0.9,Марьина роща
Марьино,247993,1.2,Марьино
Матушкино,216486,1.2,Матушкино
Метрогородок,271220,1.2,Метрогородок
Мещанский,430103,0.9,Мещанский
Митино,255092,0.7,Митино
Можайский,302798,1.1,Можайский
Молжаниновский,275940,0.9,Молжаниновский
Москворечье-Сабурово,258008,1.1,Москворечье-Сабурово
Нагатино-Садовники,303485,1.1,Нагатино-Садовники
Нагатинский Затон,303485,1.1,Нагатинский Затон
Нагорный,282935,0.8,Нагорный
Некрасовка,229136,1.0,Некрасовка
Нижегородский,255836,1.3,Нижегородский
Ново-Переделкино,249385,1.0,Ново-Переделкино
Новогиреево,240291,1.1,Новогиреево
Новокосино,241499,1.2,Новокосино
Обручевский,291589,0.9,Обручевский
Орехово-Борисово Северное,264353,1.4,Орехово-Борисово Северное
Орехово-Борисово Южное,264353,1.4,Орехово-Борисово Южное
Останкинский,304852,0.9,Останкинский
Отрадное,257940,1.1,Отрадное
Очаково-Матвеевское,317523,1.1,Очаково-Матвеевское
Перово,259215,1.2,Перово
Печатники,266246,0.7,Печатники
Покровское-Стрешнево,294638,0.6,Покровское-Стрешнево
Преображенское,289518,0.6,Преображенское
Пресненский,437171,0.7,Пресненский
Проспект Вернадского,347667,0.6,Проспект Вернадского
Раменки,376752,0.5,Раменки
Ростокино,304852,0.9,Ростокино
Рязанский,255836,1.3,Рязанский
Савёлки,216486,1.2,Савёлки
Савёловский,347058,0.9,Савеловский
Свиблово,300765,1.2,Свиблово
Северное Бутово,255983,1.2,Северное Бутово
Северное Измайлово,245443,1.0,Северное Измайлово
Северное Медведково,258672,1.0,Северное Медведково
Северное Тушино,266597,1.1,Северное Тушино
Северный,267101,1.1,Северный
Силино,216486,1.2,Силино
Сокол,358888,0.9,Сокол
Соколиная Гора,288506,1.2,Соколиная гора
Сокольники,331734,0.7,Сокольники
Солнцево,252182,0.9,Солнцево
Старое Крюково,216486,1.2,Старое Крюково
Строгино,287759,0.9,Строгино
Таганский,408384,0.7,Таганский
Тверской,538621,0.9,Тверской
Текстильщики,262299,1.2,Текстильщики
Тимирязевский,304420,0.9,Тимирязевский
Тропарёво-Никулино,324089,1.2,Тропарево-Никулино
Тёплый Стан,251239,1.2,Теплый Стан
Фили-Давыдково,302798,1.1,Фили-Давыдково
Филёвский Парк,363427,0.9,Филевский парк
Хамовники,483223,0.4,Хамовники
Ховрино,291585,1.2,Ховрино
Хорошёво-Мнёвники,330690,0.7,Хорошево-Мневники
Хорошёвский,343147,0.5,Хорошевский
Царицыно,258008,1.1,Царицыно
Чертаново Северное,278739,1.1,Чертаново Северное
Чертаново Центральное,278739,1.1,Чертаново Центральное
Чертаново Южное,257642,1.2,Чертаново Южное
Черёмушки,328868,0.8,Черемушки
Щукино,294638,0.6,Щукино
Южное Бутово,230656,1.0,Южное Бутово
Южное Медведково,273345,1.0,Южное Медведково
Южное Тушино,266597,1.1,Южное Тушино
Южнопортовый,316369,0.8,Южнопортовый
Якиманка,529942,0.8,Якиманка
Ярославский,238925,1.0,Ярославский
Ясенево,255719,1.3,Ясенево
