group_id,group_title,rank,municipality,points_count,avg_score,min_score,max_score
commercial_household,Коммерческая и бытовая инфраструктура,1,Савёловский,9,99.865556,98.960000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,2,Мещанский,17,99.368235,93.700000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,3,Аэропорт,18,99.097778,94.300000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,4,Кузьминки,17,98.348235,93.440000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,5,Орехово-Борисово Северное,15,98.225333,92.840000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,6,Южное Медведково,11,97.971818,89.420000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,7,Бескудниковский,10,96.960000,91.040000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,8,Марьина Роща,17,96.728824,90.460000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,9,Котловка,11,96.671818,90.500000,100.000000
commercial_household,Коммерческая и бытовая инфраструктура,10,Красносельский,20,96.301000,90.850000,100.000000
recreation_environment,Рекреация и экологическая комфортность,1,Хамовники,27,79.086667,73.590000,85.110000
recreation_environment,Рекреация и экологическая комфортность,2,Арбат,8,78.341250,66.880000,84.690000
recreation_environment,Рекреация и экологическая комфортность,3,Новогиреево,19,75.614211,68.920000,83.720000
recreation_environment,Рекреация и экологическая комфортность,4,Якиманка,11,75.359091,63.940000,82.070000
recreation_environment,Рекреация и экологическая комфортность,5,Дорогомилово,27,75.186667,57.500000,84.930000
recreation_environment,Рекреация и экологическая комфортность,6,Сокольники,22,74.592727,64.630000,89.080000
recreation_environment,Рекреация и экологическая комфортность,7,Ивановское,20,74.558500,55.150000,84.340000
recreation_environment,Рекреация и экологическая комфортность,8,Братеево,18,74.502222,68.150000,79.620000
recreation_environment,Рекреация и экологическая комфортность,9,Ростокино,11,74.131818,68.010000,81.570000
recreation_environment,Рекреация и экологическая комфортность,10,Филёвский Парк,23,74.030000,62.520000,90.520000
safety_economic_stability,Безопасность и экономическая стабильность района,1,Выхино-Жулебино,41,91.951463,81.590000,96.060000
safety_economic_stability,Безопасность и экономическая стабильность района,2,Люблино,50,91.479400,71.430000,97.030000
safety_economic_stability,Безопасность и экономическая стабильность района,3,Орехово-Борисово Южное,24,91.465833,83.480000,96.000000
safety_economic_stability,Безопасность и экономическая стабильность района,4,Нижегородский,27,91.315185,86.150000,94.970000
safety_economic_stability,Безопасность и экономическая стабильность района,5,Алтуфьевский,12,91.240833,86.460000,93.920000
safety_economic_stability,Безопасность и экономическая стабильность района,6,Рязанский,26,91.119231,84.180000,94.970000
safety_economic_stability,Безопасность и экономическая стабильность района,7,Восточный,9,90.677778,89.640000,90.930000
safety_economic_stability,Безопасность и экономическая стабильность района,8,Вешняки,24,90.577083,80.770000,96.060000
safety_economic_stability,Безопасность и экономическая стабильность района,9,Ивановское,20,90.499500,85.350000,92.810000
safety_economic_stability,Безопасность и экономическая стабильность района,10,Бибирево,23,90.451739,80.090000,93.920000
social_infrastructure,Социальная инфраструктура,1,Замоскворечье,19,92.925263,86.690000,97.600000
social_infrastructure,Социальная инфраструктура,2,Арбат,8,92.558750,86.710000,95.330000
social_infrastructure,Социальная инфраструктура,3,Южное Медведково,11,92.544545,79.710000,97.850000
social_infrastructure,Социальная инфраструктура,4,Савёловский,9,91.962222,88.520000,95.220000
social_infrastructure,Социальная инфраструктура,5,Проспект Вернадского,15,91.920667,85.170000,94.890000
social_infrastructure,Социальная инфраструктура,6,Тверской,24,91.174583,76.830000,97.420000
social_infrastructure,Социальная инфраструктура,7,Ломоносовский,14,91.101429,85.860000,95.370000
social_infrastructure,Социальная инфраструктура,8,Новокосино,13,91.046923,81.060000,95.310000
social_infrastructure,Социальная инфраструктура,9,Бабушкинский,19,90.727368,82.600000,96.930000
social_infrastructure,Социальная инфраструктура,10,Якиманка,11,90.055455,82.250000,95.580000
transport_accessibility,Транспортная доступность,1,Якиманка,11,99.092727,97.250000,100.000000
transport_accessibility,Транспортная доступность,2,Тверской,24,98.890833,95.670000,100.000000
transport_accessibility,Транспортная доступность,3,Южнопортовый,17,98.778235,95.160000,100.000000
transport_accessibility,Транспортная доступность,4,Мещанский,17,98.775294,95.160000,100.000000
transport_accessibility,Транспортная доступность,5,Таганский,30,98.708000,93.650000,100.000000
transport_accessibility,Транспортная доступность,6,Аэропорт,18,98.456667,94.990000,100.000000
transport_accessibility,Транспортная доступность,7,Бутырский,22,98.411818,90.360000,100.000000
transport_accessibility,Транспортная доступность,8,Арбат,8,98.228750,95.490000,100.000000
transport_accessibility,Транспортная доступность,9,Нагорный,21,98.200000,85.890000,100.000000
transport_accessibility,Транспортная доступность,10,Бескудниковский,10,97.908000,92.140000,100.000000
