municipality,parent_name,point_index,group_id,group_title,score
"""Мосрентген""",Новомосковский,1,transport_accessibility,Транспортная доступность,85.030000
"""Мосрентген""",Новомосковский,1,social_infrastructure,Социальная инфраструктура,46.260000
"""Мосрентген""",Новомосковский,1,commercial_household,Коммерческая и бытовая инфраструктура,85.170000
"""Мосрентген""",Новомосковский,1,recreation_environment,Рекреация и экологическая комфортность,61.750000
"""Мосрентген""",Новомосковский,1,safety_economic_stability,Безопасность и экономическая стабильность района,74.940000
"""Мосрентген""",Новомосковский,2,transport_accessibility,Транспортная доступность,73.620000
"""Мосрентген""",Новомосковский,2,social_infrastructure,Социальная инфраструктура,44.010000
"""Мосрентген""",Новомосковский,2,commercial_household,Коммерческая и бытовая инфраструктура,54.330000
"""Мосрентген""",Новомосковский,2,recreation_environment,Рекреация и экологическая комфортность,51.630000
"""Мосрентген""",Новомосковский,2,safety_economic_stability,Безопасность и экономическая стабильность района,78.210000
"""Мосрентген""",Новомосковский,3,transport_accessibility,Транспортная доступность,79.770000
"""Мосрентген""",Новомосковский,3,social_infrastructure,Социальная инфраструктура,51.830000
"""Мосрентген""",Новомосковский,3,commercial_household,Коммерческая и бытовая инфраструктура,66.590000
"""Мосрентген""",Новомосковский,3,recreation_environment,Рекреация и экологическая комфортность,49.240000
"""Мосрентген""",Новомосковский,3,safety_economic_stability,Безопасность и экономическая стабильность района,80.430000
"""Мосрентген""",Новомосковский,4,transport_accessibility,Транспортная доступность,84.050000
"""Мосрентген""",Новомосковский,4,social_infrastructure,Социальная инфраструктура,56.210000
"""Мосрентген""",Новомосковский,4,commercial_household,Коммерческая и бытовая инфраструктура,90.490000
"""Мосрентген""",Новомосковский,4,recreation_environment,Рекреация и экологическая комфортность,58.430000
"""Мосрентген""",Новомосковский,4,safety_economic_stability,Безопасность и экономическая стабильность района,84.970000
"""Мосрентген""",Новомосковский,5,transport_accessibility,Транспортная доступность,67.770000
"""Мосрентген""",Новомосковский,5,social_infrastructure,Социальная инфраструктура,53.470000
"""Мосрентген""",Новомосковский,5,commercial_household,Коммерческая и бытовая инфраструктура,44.260000
"""Мосрентген""",Новомосковский,5,recreation_environment,Рекреация и экологическая комфортность,48.950000
"""Мосрентген""",Новомосковский,5,safety_economic_stability,Безопасность и экономическая стабильность района,88.440000
"""Мосрентген""",Новомосковский,6,transport_accessibility,Транспортная доступность,75.570000
"""Мосрентген""",Новомосковский,6,social_infrastructure,Социальная инфраструктура,67.800000
"""Мосрентген""",Новомосковский,6,commercial_household,Коммерческая и бытовая инфраструктура,88.180000
"""Мосрентген""",Новомосковский,6,recreation_environment,Рекреация и экологическая комфортность,60.050000
"""Мосрентген""",Новомосковский,6,safety_economic_stability,Безопасность и экономическая стабильность района,97.120000
"""Мосрентген""",Новомосковский,7,transport_accessibility,Транспортная доступность,74.260000
"""Мосрентген""",Новомосковский,7,social_infrastructure,Социальная инфраструктура,60.210000
"""Мосрентген""",Новомосковский,7,commercial_household,Коммерческая и бытовая инфраструктура,54.650000
"""Мосрентген""",Новомосковский,7,recreation_environment,Рекреация и экологическая комфортность,54.010000
"""Мосрентген""",Новомосковский,7,safety_economic_stability,Безопасность и экономическая стабильность района,92.890000
"""Мосрентген""",Новомосковский,8,transport_accessibility,Транспортная доступность,83.140000
"""Мосрентген""",Новомосковский,8,social_infrastructure,Социальная инфраструктура,68.600000
"""Мосрентген""",Новомосковский,8,commercial_household,Коммерческая и бытовая инфраструктура,71.160000
"""Мосрентген""",Новомосковский,8,recreation_environment,Рекреация и экологическая комфортность,54.260000
"""Мосрентген""",Новомосковский,8,safety_economic_stability,Безопасность и экономическая стабильность района,96.520000
"""Мосрентген""",Новомосковский,9,transport_accessibility,Транспортная доступность,86.420000
"""Мосрентген""",Новомосковский,9,social_infrastructure,Социальная инфраструктура,71.200000
"""Мосрентген""",Новомосковский,9,commercial_household,Коммерческая и бытовая инфраструктура,77.640000
"""Мосрентген""",Новомосковский,9,recreation_environment,Рекреация и экологическая комфортность,58.610000
"""Мосрентген""",Новомосковский,9,safety_economic_stability,Безопасность и экономическая стабильность района,96.520000
"""Мосрентген""",Новомосковский,10,transport_accessibility,Транспортная доступность,77.600000
