municipality,id,title,points_count,avg_score,min_score,max_score
Савёловский,commercial_household,Коммерческая и бытовая инфраструктура,9,99.865556,98.960000,100.000000
Мещанский,commercial_household,Коммерческая и бытовая инфраструктура,17,99.368235,93.700000,100.000000
Аэропорт,commercial_household,Коммерческая и бытовая инфраструктура,18,99.097778,94.300000,100.000000
Кузьминки,commercial_household,Коммерческая и бытовая инфраструктура,17,98.348235,93.440000,100.000000
Орехово-Борисово Северное,commercial_household,Коммерческая и бытовая инфраструктура,15,98.225333,92.840000,100.000000
Южное Медведково,commercial_household,Коммерческая и бытовая инфраструктура,11,97.971818,89.420000,100.000000
Бескудниковский,commercial_household,Коммерческая и бытовая инфраструктура,10,96.960000,91.040000,100.000000
Марьина Роща,commercial_household,Коммерческая и бытовая инфраструктура,17,96.728824,90.460000,100.000000
Котловка,commercial_household,Коммерческая и бытовая инфраструктура,11,96.671818,90.500000,100.000000
Красносельский,commercial_household,Коммерческая и бытовая инфраструктура,20,96.301000,90.850000,100.000000
Новогиреево,commercial_household,Коммерческая и бытовая инфраструктура,19,96.270000,75.800000,100.000000
Бабушкинский,commercial_household,Коммерческая и бытовая инфраструктура,19,96.230000,89.590000,100.000000
Марьино,commercial_household,Коммерческая и бытовая инфраструктура,34,96.075000,88.630000,100.000000
Северное Тушино,commercial_household,Коммерческая и бытовая инфраструктура,21,95.934762,50.580000,100.000000
Басманный,commercial_household,Коммерческая и бытовая инфраструктура,32,95.718750,86.730000,100.000000
Таганский,commercial_household,Коммерческая и бытовая инфраструктура,30,95.636000,83.160000,100.000000
Хамовники,commercial_household,Коммерческая и бытовая инфраструктура,27,95.537407,84.430000,100.000000
Преображенское,commercial_household,Коммерческая и бытовая инфраструктура,18,95.512778,83.800000,100.000000
Текстильщики,commercial_household,Коммерческая и бытовая инфраструктура,18,95.381111,75.440000,100.000000
Восточное Измайлово,commercial_household,Коммерческая и бытовая инфраструктура,14,95.316429,67.370000,100.000000
Замоскворечье,commercial_household,Коммерческая и бытовая инфраструктура,19,95.288947,89.400000,100.000000
Ломоносовский,commercial_household,Коммерческая и бытовая инфраструктура,14,95.101429,92.000000,100.000000
Алексеевский,commercial_household,Коммерческая и бытовая инфраструктура,21,94.865714,79.230000,100.000000
Якиманка,commercial_household,Коммерческая и бытовая инфраструктура,11,94.799091,88.080000,99.480000
Зябликово,commercial_household,Коммерческая и бытовая инфраструктура,16,94.736875,48.430000,100.000000
Северное Бутово,commercial_household,Коммерческая и бытовая инфраструктура,15,94.693333,82.100000,100.000000
Гольяново,commercial_household,Коммерческая и бытовая инфраструктура,35,94.651714,79.980000,100.000000
Академический,commercial_household,Коммерческая и бытовая инфраструктура,21,94.574762,85.620000,100.000000
Черёмушки,commercial_household,Коммерческая и бытовая инфраструктура,23,94.553043,84.860000,100.000000
Северное Медведково,commercial_household,Коммерческая и бытовая инфраструктура,21,94.392857,84.500000,100.000000
