municipality,id,title,points_count,avg_score,min_score,max_score
Арбат,families_with_children,Семьи с детьми,8,89.917500,88.600000,90.850000
Новогиреево,families_with_children,Семьи с детьми,19,89.039474,81.800000,91.680000
Савёловский,families_with_children,Семьи с детьми,9,88.782222,87.300000,90.010000
Замоскворечье,families_with_children,Семьи с детьми,19,88.460000,86.340000,90.560000
Якиманка,families_with_children,Семьи с детьми,11,88.455455,85.700000,90.110000
Мещанский,families_with_children,Семьи с детьми,17,88.217647,83.530000,91.690000
Тверской,families_with_children,Семьи с детьми,24,88.152083,84.060000,90.620000
Проспект Вернадского,families_with_children,Семьи с детьми,15,87.974000,84.390000,90.240000
Таганский,families_with_children,Семьи с детьми,30,87.940333,83.710000,90.480000
Бабушкинский,families_with_children,Семьи с детьми,19,87.514737,82.920000,91.300000
Ломоносовский,families_with_children,Семьи с детьми,14,87.508571,85.640000,90.680000
Басманный,families_with_children,Семьи с детьми,32,87.491875,81.550000,89.660000
Свиблово,families_with_children,Семьи с детьми,16,87.486250,77.790000,91.970000
Дорогомилово,families_with_children,Семьи с детьми,27,87.085185,68.800000,93.460000
Пресненский,families_with_children,Семьи с детьми,42,87.048810,78.390000,92.170000
Аэропорт,families_with_children,Семьи с детьми,18,86.913333,82.870000,89.610000
Кузьминки,families_with_children,Семьи с детьми,17,86.676471,82.430000,92.370000
Хамовники,families_with_children,Семьи с детьми,27,86.597407,81.190000,91.250000
Фили-Давыдково,families_with_children,Семьи с детьми,20,86.429000,82.080000,89.690000
Бескудниковский,families_with_children,Семьи с детьми,10,86.293000,81.730000,89.800000
Преображенское,families_with_children,Семьи с детьми,18,86.262222,83.430000,90.370000
Зюзино,families_with_children,Семьи с детьми,20,86.242500,80.030000,89.410000
Котловка,families_with_children,Семьи с детьми,11,86.174545,82.000000,88.670000
Сокол,families_with_children,Семьи с детьми,12,86.083333,82.130000,88.420000
Текстильщики,families_with_children,Семьи с детьми,18,85.948333,74.250000,93.430000
Академический,families_with_children,Семьи с детьми,21,85.831905,79.920000,89.430000
Марьина Роща,families_with_children,Семьи с детьми,17,85.829412,78.130000,90.130000
Филёвский Парк,families_with_children,Семьи с детьми,23,85.703913,70.850000,91.640000
