municipality,parent_name,point_index,lon,lat,general_score,api_municipality,error
"""Мосрентген""",Новомосковский,1,37.480297,55.601258,70.550000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,2,37.464257,55.605552,60.500000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,3,37.472190,55.605651,66.080000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,4,37.480124,55.605749,74.620000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,5,37.464081,55.610043,60.600000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,6,37.487885,55.610338,76.810000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,7,37.463906,55.614534,67.320000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,8,37.471841,55.614633,75.130000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,9,37.479776,55.614732,78.480000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,10,37.463730,55.619025,70.520000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,11,37.471666,55.619124,78.070000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,12,37.447680,55.623316,53.950000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,13,37.455617,55.623416,57.990000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,14,37.463554,55.623516,68.510000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,15,37.447503,55.627807,65.970000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,16,37.455441,55.627908,60.070000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,17,37.463379,55.628007,70.020000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,18,37.447325,55.632298,73.020000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,19,37.455264,55.632399,69.240000,"""Мосрентген""",
"""Мосрентген""",Новомосковский,20,37.463203,55.632498,71.220000,"""Мосрентген""",
Академический,Юго-Западный,1,37.564770,55.678661,87.090000,Академический,
Академический,Юго-Западный,2,37.572719,55.678754,86.610000,Академический,
Академический,Юго-Западный,3,37.580667,55.678846,85.470000,Академический,
Академический,Юго-Западный,4,37.556656,55.683059,87.010000,Академический,
Академический,Юго-Западный,5,37.564606,55.683152,88.650000,Академический,
Академический,Юго-Западный,6,37.572555,55.683245,87.470000,Академический,
Академический,Юго-Западный,7,37.588454,55.683429,88.450000,Академический,
Академический,Юго-Западный,8,37.572392,55.687736,87.850000,Академический,
Академический,Юго-Западный,9,37.580342,55.687829,89.300000,Академический,
Академический,Юго-Западный,10,37.588293,55.687920,89.820000,Академический,
Академический,Юго-Западный,11,37.564277,55.692135,88.250000,Академический,
Академический,Юго-Западный,12,37.572228,55.692228,88.050000,Академический,
Академический,Юго-Западный,13,37.580179,55.692320,86.930000,Академический,
Академический,Юго-Западный,14,37.588131,55.692412,87.420000,Академический,
Академический,Юго-Западный,15,37.596082,55.692503,87.860000,Академический,
Академический,Юго-Западный,16,37.572064,55.696719,84.650000,Академический,
Академический,Юго-Западный,17,37.580017,55.696811,84.480000,Академический,
Академический,Юго-Западный,18,37.587969,55.696903,79.810000,Академический,
Академический,Юго-Западный,19,37.579854,55.701302,84.660000,Академический,
Академический,Юго-Западный,20,37.587807,55.701394,83.970000,Академический,
Академический,Юго-Западный,21,37.587645,55.705886,84.200000,Академический,
Алексеевский,Северо-Восточный,1,37.648332,55.791938,82.650000,Алексеевский,
Алексеевский,Северо-Восточный,2,37.640204,55.796341,81.780000,Алексеевский,
Алексеевский,Северо-Восточный,3,37.648177,55.796429,78.240000,Алексеевский,
Алексеевский,Северо-Восточный,4,37.640047,55.800832,83.580000,Алексеевский,
Алексеевский,Северо-Восточный,5,37.648021,55.800920,78.030000,Алексеевский,
Алексеевский,Северо-Восточный,6,37.639891,55.805324,82.740000,Алексеевский,
Алексеевский,Северо-Восточный,7,37.647866,55.805412,83.800000,Алексеевский,
Алексеевский,Северо-Восточный,8,37.639734,55.809815,83.690000,Алексеевский,
Алексеевский,Северо-Восточный,9,37.647710,55.809903,85.210000,Алексеевский,
Алексеевский,Северо-Восточный,10,37.655685,55.809991,84.160000,Алексеевский,
Алексеевский,Северо-Восточный,11,37.639578,55.814307,86.600000,Алексеевский,
Алексеевский,Северо-Восточный,12,37.647554,55.814395,86.270000,Алексеевский,
Алексеевский,Северо-Восточный,13,37.655531,55.814482,84.170000,Алексеевский,
Алексеевский,Северо-Восточный,14,37.663507,55.814569,80.290000,Алексеевский,
Алексеевский,Северо-Восточный,15,37.647398,55.818886,87.870000,Алексеевский,
Алексеевский,Северо-Восточный,16,37.655376,55.818973,84.240000,Алексеевский,
Алексеевский,Северо-Восточный,17,37.663353,55.819060,78.160000,Алексеевский,
Алексеевский,Северо-Восточный,18,37.647242,55.823377,87.550000,Алексеевский,
Алексеевский,Северо-Восточный,19,37.655221,55.823465,84.680000,Алексеевский,
Алексеевский,Северо-Восточный,20,37.663199,55.823552,78.430000,Алексеевский,
Алексеевский,Северо-Восточный,21,37.655066,55.827956,83.810000,Алексеевский,
Алтуфьевский,Северо-Восточный,1,37.573631,55.871970,82.380000,Алтуфьевский,
Алтуфьевский,Северо-Восточный,2,37.581619,55.872062,84.040000,Алтуфьевский,
Алтуфьевский,Северо-Восточный,3,37.573466,55.876461,80.870000,Алтуфьевский,
Алтуфьевский,Северо-Восточный,4,37.581455,55.876553,81.070000,Алтуфьевский,
Алтуфьевский,Северо-Восточный,5,37.589444,55.876645,82.320000,Алтуфьевский,
Алтуфьевский,Северо-Восточный,6,37.581291,55.881044,85.420000,Алтуфьевский,
