municipality,parent_name,point_index,profile,profile_title,profile_weight,score
"""Мосрентген""",Новомосковский,1,families_with_children,Семьи с детьми,0.200000,65.920000
"""Мосрентген""",Новомосковский,1,youth,Молодёжь,0.200000,71.690000
"""Мосрентген""",Новомосковский,1,working_adults,Работающие взрослые,0.200000,73.660000
"""Мосрентген""",Новомосковский,1,pensioners,Пенсионеры,0.200000,69.510000
"""Мосрентген""",Новомосковский,1,limited_mobility,Маломобильные группы,0.200000,71.970000
"""Мосрентген""",Новомосковский,2,families_with_children,Семьи с детьми,0.200000,57.140000
"""Мосрентген""",Новомосковский,2,youth,Молодёжь,0.200000,58.200000
"""Мосрентген""",Новомосковский,2,working_adults,Работающие взрослые,0.200000,63.500000
"""Мосрентген""",Новомосковский,2,pensioners,Пенсионеры,0.200000,60.660000
"""Мосрентген""",Новомосковский,2,limited_mobility,Маломобильные группы,0.200000,63.020000
"""Мосрентген""",Новомосковский,3,families_with_children,Семьи с детьми,0.200000,63.250000
"""Мосрентген""",Новомосковский,3,youth,Молодёжь,0.200000,63.320000
"""Мосрентген""",Новомосковский,3,working_adults,Работающие взрослые,0.200000,68.640000
"""Мосрентген""",Новомосковский,3,pensioners,Пенсионеры,0.200000,66.300000
"""Мосрентген""",Новомосковский,3,limited_mobility,Маломобильные группы,0.200000,68.900000
"""Мосрентген""",Новомосковский,4,families_with_children,Семьи с детьми,0.200000,70.730000
"""Мосрентген""",Новомосковский,4,youth,Молодёжь,0.200000,73.970000
"""Мосрентген""",Новомосковский,4,working_adults,Работающие взрослые,0.200000,78.000000
"""Мосрентген""",Новомосковский,4,pensioners,Пенсионеры,0.200000,74.130000
"""Мосрентген""",Новомосковский,4,limited_mobility,Маломобильные группы,0.200000,76.290000
"""Мосрентген""",Новомосковский,5,families_with_children,Семьи с детьми,0.200000,58.550000
"""Мосрентген""",Новомосковский,5,youth,Молодёжь,0.200000,56.040000
"""Мосрентген""",Новомосковский,5,working_adults,Работающие взрослые,0.200000,62.610000
"""Мосрентген""",Новомосковский,5,pensioners,Пенсионеры,0.200000,62.100000
"""Мосрентген""",Новомосковский,5,limited_mobility,Маломобильные группы,0.200000,63.700000
"""Мосрентген""",Новомосковский,6,families_with_children,Семьи с детьми,0.200000,72.780000
"""Мосрентген""",Новомосковский,6,youth,Молодёжь,0.200000,74.280000
"""Мосрентген""",Новомосковский,6,working_adults,Работающие взрослые,0.200000,79.670000
"""Мосрентген""",Новомосковский,6,pensioners,Пенсионеры,0.200000,78.240000
"""Мосрентген""",Новомосковский,6,limited_mobility,Маломобильные группы,0.200000,79.060000
"""Мосрентген""",Новомосковский,7,families_with_children,Семьи с детьми,0.200000,65.700000
"""Мосрентген""",Новомосковский,7,youth,Молодёжь,0.200000,62.920000
"""Мосрентген""",Новомосковский,7,working_adults,Работающие взрослые,0.200000,69.770000
"""Мосрентген""",Новомосковский,7,pensioners,Пенсионеры,0.200000,68.140000
"""Мосрентген""",Новомосковский,7,limited_mobility,Маломобильные группы,0.200000,70.060000
"""Мосрентген""",Новомосковский,8,families_with_children,Семьи с детьми,0.200000,72.810000
"""Мосрентген""",Новомосковский,8,youth,Молодёжь,0.200000,70.570000
"""Мосрентген""",Новомосковский,8,working_adults,Работающие взрослые,0.200000,77.610000
"""Мосрентген""",Новомосковский,8,pensioners,Пенсионеры,0.200000,76.350000
"""Мосрентген""",Новомосковский,8,limited_mobility,Маломобильные группы,0.200000,78.320000
"""Мосрентген""",Новомосковский,9,families_with_children,Семьи с детьми,0.200000,75.270000
"""Мосрентген""",Новомосковский,9,youth,Молодёжь,0.200000,75.240000
"""Мосрентген""",Новомосковский,9,working_adults,Работающие взрослые,0.200000,81.060000
"""Мосрентген""",Новомосковский,9,pensioners,Пенсионеры,0.200000,79.590000
"""Мосрентген""",Новомосковский,9,limited_mobility,Маломобильные группы,0.200000,81.240000
"""Мосрентген""",Новомосковский,10,families_with_children,Семьи с детьми,0.200000,68.790000
"""Мосрентген""",Новомосковский,10,youth,Молодёжь,0.200000,66.130000
"""Мосрентген""",Новомосковский,10,working_adults,Работающие взрослые,0.200000,73.480000
"""Мосрентген""",Новомосковский,10,pensioners,Пенсионеры,0.200000,70.880000
"""Мосрентген""",Новомосковский,10,limited_mobility,Маломобильные группы,0.200000,73.330000
"""Мосрентген""",Новомосковский,11,families_with_children,Семьи с детьми,0.200000,76.270000
"""Мосрентген""",Новомосковский,11,youth,Молодёжь,0.200000,73.130000
"""Мосрентген""",Новомосковский,11,working_adults,Работающие взрослые,0.200000,80.490000
"""Мосрентген""",Новомосковский,11,pensioners,Пенсионеры,0.200000,79.170000
"""Мосрентген""",Новомосковский,11,limited_mobility,Маломобильные группы,0.200000,81.290000
"""Мосрентген""",Новомосковский,12,families_with_children,Семьи с детьми,0.200000,54.080000
"""Мосрентген""",Новомосковский,12,youth,Молодёжь,0.200000,48.710000
"""Мосрентген""",Новомосковский,12,working_adults,Работающие взрослые,0.200000,55.570000
"""Мосрентген""",Новомосковский,12,pensioners,Пенсионеры,0.200000,54.430000
"""Мосрентген""",Новомосковский,12,limited_mobility,Маломобильные группы,0.200000,56.960000
"""Мосрентген""",Новомосковский,13,families_with_children,Семьи с детьми,0.200000,57.520000
"""Мосрентген""",Новомосковский,13,youth,Молодёжь,0.200000,50.850000
"""Мосрентген""",Новомосковский,13,working_adults,Работающие взрослые,0.200000,59.530000
"""Мосрентген""",Новомосковский,13,pensioners,Пенсионеры,0.200000,60.440000
"""Мосрентген""",Новомосковский,13,limited_mobility,Маломобильные группы,0.200000,61.590000
"""Мосрентген""",Новомосковский,14,families_with_children,Семьи с детьми,0.200000,68.340000
"""Мосрентген""",Новомосковский,14,youth,Молодёжь,0.200000,62.500000
"""Мосрентген""",Новомосковский,14,working_adults,Работающие взрослые,0.200000,70.720000
"""Мосрентген""",Новомосковский,14,pensioners,Пенсионеры,0.200000,69.810000
"""Мосрентген""",Новомосковский,14,limited_mobility,Маломобильные группы,0.200000,71.200000
"""Мосрентген""",Новомосковский,15,families_with_children,Семьи с детьми,0.200000,65.200000
"""Мосрентген""",Новомосковский,15,youth,Молодёжь,0.200000,63.120000
