municipality,parent_name,point_index,group_id,group_title,section_id,section_title,score
"""Мосрентген""",Новомосковский,1,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,92.500000
"""Мосрентген""",Новомосковский,1,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,71.410000
"""Мосрентген""",Новомосковский,1,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,41.280000
"""Мосрентген""",Новомосковский,1,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,44.130000
"""Мосрентген""",Новомосковский,1,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,55.790000
"""Мосрентген""",Новомосковский,1,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,100.000000
"""Мосрентген""",Новомосковский,1,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,61.550000
"""Мосрентген""",Новомосковский,1,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,84.790000
"""Мосрентген""",Новомосковский,1,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,61.630000
"""Мосрентген""",Новомосковский,1,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,48.020000
"""Мосрентген""",Новомосковский,1,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,74.940000
"""Мосрентген""",Новомосковский,1,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,2,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,71.480000
"""Мосрентген""",Новомосковский,2,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,77.530000
"""Мосрентген""",Новомосковский,2,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,39.520000
"""Мосрентген""",Новомосковский,2,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,45.210000
"""Мосрентген""",Новомосковский,2,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,50.060000
"""Мосрентген""",Новомосковский,2,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,75.280000
"""Мосрентген""",Новомосковский,2,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,20.960000
"""Мосрентген""",Новомосковский,2,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,70.810000
"""Мосрентген""",Новомосковский,2,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,64.450000
"""Мосрентген""",Новомосковский,2,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,32.460000
"""Мосрентген""",Новомосковский,2,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,78.210000
"""Мосрентген""",Новомосковский,2,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,3,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,86.260000
"""Мосрентген""",Новомосковский,3,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,67.940000
"""Мосрентген""",Новомосковский,3,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,50.570000
"""Мосрентген""",Новомосковский,3,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,50.150000
"""Мосрентген""",Новомосковский,3,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,55.190000
"""Мосрентген""",Новомосковский,3,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,93.340000
"""Мосрентген""",Новомосковский,3,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,23.970000
"""Мосрентген""",Новомосковский,3,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,53.220000
"""Мосрентген""",Новомосковский,3,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,66.270000
"""Мосрентген""",Новомосковский,3,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,36.650000
"""Мосрентген""",Новомосковский,3,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,80.430000
"""Мосрентген""",Новомосковский,3,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,4,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,88.880000
"""Мосрентген""",Новомосковский,4,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,75.250000
"""Мосрентген""",Новомосковский,4,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,52.550000
"""Мосрентген""",Новомосковский,4,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,53.510000
"""Мосрентген""",Новомосковский,4,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,64.150000
"""Мосрентген""",Новомосковский,4,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,99.490000
"""Мосрентген""",Новомосковский,4,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,76.160000
"""Мосрентген""",Новомосковский,4,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,67.040000
"""Мосрентген""",Новомосковский,4,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,66.360000
"""Мосрентген""",Новомосковский,4,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,48.530000
"""Мосрентген""",Новомосковский,4,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,84.970000
"""Мосрентген""",Новомосковский,4,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,5,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,66.500000
